dirname,filename,molecule_name,distance,fci_energy,1st_excited_energy,nfev,qc_energy_0,qc_energy_1,time_elapsed
H2_line_sto-3g,H2_line_sto-3g_singlet_1.10.hdf5,H2line,1.1,-1.079192945,-0.386515244,11,-0.986580298,-0.386515549,0.00916028
H2_line_sto-3g,H2_line_sto-3g_singlet_1.20.hdf5,H2line,1.2,-1.056740746,-0.408860409,11,-0.951922948,-0.408861116,0.009221792
H2_line_sto-3g,H2_line_sto-3g_singlet_1.30.hdf5,H2line,1.3,-1.035186266,-0.422402022,11,-0.908012518,-0.422402061,0.008960247
H2_line_sto-3g,H2_line_sto-3g_singlet_1.40.hdf5,H2line,1.4,-1.015468249,-0.429383761,11,-0.874729565,-0.429386121,0.009124279
H2_line_sto-3g,H2_line_sto-3g_singlet_1.50.hdf5,H2line,1.5,-0.998149353,-0.431512909,11,-0.836149669,-0.431513044,0.009185791
H2_line_sto-3g,H2_line_sto-3g_singlet_1.60.hdf5,H2line,1.6,-0.983472729,-0.430109249,11,-0.80606391,-0.430111252,0.008972883
H2_line_sto-3g,H2_line_sto-3g_singlet_1.70.hdf5,H2line,1.7,-0.971426688,-0.426191756,11,-0.764363225,-0.426202943,0.009286404
H2_line_sto-3g,H2_line_sto-3g_singlet_1.80.hdf5,H2line,1.8,-0.961816953,-0.42054092,11,-0.73480304,-0.420555389,0.009482384
H2_line_sto-3g,H2_line_sto-3g_singlet_1.90.hdf5,H2line,1.9,-0.954338854,-0.413748878,87,-0.700550273,-0.413748878,0.042467833
H2_line_sto-3g,H2_line_sto-3g_singlet_2.00.hdf5,H2line,2,-0.948641112,-0.406260369,249,-0.934917058,-0.393012452,0.22061348
H4_line_sto-3g,H4_line_sto-3g_singlet_0.50.hdf5,H4line,0.5,-1.653116952,-0.622826873,59,-1.047321874,-0.579130555,0.496387959
H4_line_sto-3g,H4_line_sto-3g_singlet_0.60.hdf5,H4line,0.6,-1.960193645,-1.09647871,59,-1.47650069,-1.059342495,0.490687609
H4_line_sto-3g,H4_line_sto-3g_singlet_0.70.hdf5,H4line,0.7,-2.106996915,-1.365652667,59,-1.736726724,-1.318496771,0.517265797
H4_line_sto-3g,H4_line_sto-3g_singlet_0.80.hdf5,H4line,0.8,-2.167560544,-1.514583566,148,-1.226909917,-0.141242335,1.17860508
H4_line_sto-3g,H4_line_sto-3g_singlet_0.90.hdf5,H4line,0.9,-2.180316614,-1.590934558,1620,-1.979433139,-1.346891577,12.4426415
H4_line_sto-3g,H4_line_sto-3g_singlet_1.00.hdf5,H4line,1,-2.166387449,-1.649657886,207,-2.010760592,-0.572087048,1.615234137
H4_line_sto-3g,H4_line_sto-3g_singlet_1.10.hdf5,H4line,1.1,-2.137970527,-1.712389814,1149,-2.088663904,-1.506788374,8.827066183
H4_line_sto-3g,H4_line_sto-3g_singlet_1.20.hdf5,H4line,1.2,-2.102608481,-1.755108304,207,-2.020269801,-1.113335208,1.634867907
